;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
ACCESORIOS;;;;;;;;;;;
000000001012;;ADAPTADOR BLUETOOH 5.0 USB DONGLE;;BLUETOOH 5.0;;4,79;;MESES;;;
000000000688;;"ADAPTADOR DE ENCHUFE ARGOM ARG-AC-0266WT 3 SALIDAS / 2 USB
110V BLANCO";;ARG-AC-0266WT;;8,44;;3 MESES;;;
000000001765;;ADAPTADOR DE SONIDO USB 5.1;;ADAP SONIDO USB 5.1;;6,60;;N/A;;;
000000001635;;ADAPTADOR DE SONIDO USB 7.1 AVION;;SONIDO USB 7.1AVION;;6,60;;N/A;;;
000000001068;;ADAPTADOR TP-LINK UC400 3.0 USB A USB-A;;UC400 USB 3.0 USB A;;6,37;;12 MESES;;;
000000000910;;ALMOHADILLA ARGON PARA JUEGO COMBAT ARG-AC-1227BK;;ARG-AC-1227BK;;9,45;;N/A;;;
000000000912;;ALMOHADILLA PARA JUEGO COMBAT ARG-AC-1226BK;;ARG-AC-1226BK;;7,50;;N/A;;;
000000001701;;"AUDIFONO ESTEREO METRO 78 ARG-HS-0078 CON MICROFONO Y
CONTROL VOLUMEN ARGOM";;ARG-HS-0078;;12,68;;3 MESES;;;
000000000946;;AUDIFONO GAMING ARGON ARG-HS-2845BK COMBAT USB BLACK/BLUE;;ARG-HS-2845BK;;19,54;;3 MESES;;;
000000000210;;AUDIFONO U CORPORATION AUDISTE-U STEREO PLUG 3.5MM;;3.5 USB;;9,64;;3 MESES;;;
000000001510;;AUDIFONOS DE UNICORNIO HS BK 681;;HS BK 681;;14,04;;1 MES;;;
000000001769;;AUDIFONOS MZ47;;AUDIFONOS MZ47;;12,08;;1 MES;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 1/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000000944;;"BACKPACK ARGOM ELEVATION 15.6"" ARG-BP-0718BK";;ARG-BP-0718BK;;18,33;;N/A;;;
000000000716;;"BASE AJUSTABLE PARA PORTATIL ARG-CF-1594 CON 1 VENTILADOR y
2-PUERTOS USB 2.0 ARGOM";;ARG-CF-1594;;11,28;;N/A;;;
000000001647;;"BOLSO PARA IPAD / TABLA 10"" NYLON WEL-I101";;WEL-I101;;3,00;;N/A;;;
000000001732;;"BOMBILLO LED INTELIGENTE COMPATIBLE CON ALEXA 800 LUMENS
B11N11";;B11N11;;7,88;;N/A;;;
000000001590;;BOMBILLO LED RECARGABLE PICKENS PKRC-7813 38W;;PKRC-7813;;13,24;;N/A;;;
000000000725;;CABLE ADAPTADOR ARG-CB-0045 USB 2.0 A RJ45 15CM ARGOM;;ARG-CB-0045;;8,02;;N/A;;;
000000001252;;CABLE ADAPTADOR ARG-CB-0053 MINI DISPLAY A VGA ARGOM;;ARG-CB-0053;;6,00;;3 MESES;;;
000000000707;;CABLE ADAPTADOR ARG-CB-0056 PUERTO DISPLAY A VGA 15CM ARGOM;;ARG-CB-0056;;6,60;;N/A;;;
000000000708;;"CABLE ADAPTADOR DE PUERTO ARG-CB-0059 DISPLAY A HDMI -15 cm
ARGOM";;ARG-CB-0059;;5,92;;N/A;;;
000000000262;;CABLE ADAPTADOR DISPLAYPORT A HDMI;;DISPLAYPORT A HDMI;;2,98;;N/A;;;
000000000710;;"CABLE ADAPTADOR TIPO-C A ARG-CB-0062 GIGABIT RJ45 - 15cm
ARGOM";;ARG-CB-0062;;16,49;;N/A;;;
000000001234;;CABLE HDMI/HDMI M/M - 1.5 m;;HDMI/HDMI;;3,42;;N/A;;;
000000001766;;CABLE HDMI/HDMI M/M - 15 m;;HDMI/HDMI 15 M;;4,36;;N/A;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 2/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001767;;CABLE HDMI/HDMI M/M - 20 m;;HDMI/HDMI 20 M;;4,36;;N/A;;;
000000000714;;CABLE HDMI/HDMI M/M - 3 m;;HDMI/HDMI 3 M;;4,36;;N/A;;;
000000000733;;"CAJA EXTERNA ADDLINK M2 PCIE & M2 SATA INTERFACE USB 3 2GEN
TYPE C";;M.2 USB 3 2G TYPE C;;19,20;;N/A;;;
000000001630;;"CAMARA SEGURIDAD NIGHT OWL BLUETOOH 8 CANALES DVR CON 1TB
HDD 1080P HD";;SCA.OWL CAM;;215,68;;3 MESES;;;
000000001263;;CAR BLUETOOTH 3.0+EDR 3.5MM STEREO;;3.0 + EDR;;9,44;;3 MESES;;;
000000001292;;CAR BLUETOOTH BT-450 VERDE;;BT-450;;9,44;;3 MESES;;;
000000001013;;CARGADOR PARA IPHONE 12;;CARGADOR IPHONE;;14,84;;N/A;;;
000000000724;;COMBO TECLADO Y MOUSE COMBAT USB ARG-KB-2051BK ARGOM;;ARG-KB-2051BK;;17,66;;1 MES;;;
000000001643;;CONTROL SIMPLE TV;;CONTROL SIMPLETV;;6,60;;N/A;;;
000000001713;;"CONTROLADOR DJ DE 2 CANALES PIONEER SERATO PARA DJ LITE
NEGRO DDJ-REV1";;DDJ-REV1;;325,67;;3 MESES;;;
0000000001095;;CORNETA U MULTIMEDIA USB 2.0;;USB 2.0;;3,93;;3 MESES;;;
000000001694;;"FUNDA PARA PORTATIL ARGOM DE 15.6"" ARG-SL-0015B NEGRO";;ARG-SL-0015B;;6,07;;N/A;;;
000000001761;;"FUNDA PARA PORTATIL WASH HORIZONTAL 10.1"" WEL-101-H";;WEL-101-H;;0,48;;N/A;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 3/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001762;;"FUNDA PARA PORTATIL WASH HORIZONTAL 14.1"" WEL-141-H";;WEL-141-H;;0,84;;N/A;;;
000000001763;;"FUNDA PARA PORTATIL WASH VERTICAL 10.1"" WEL-101-V";;WEL-101-V;;0,50;;N/A;;;
000000001764;;"FUNDA PARA PORTATIL WASH VERTICAL 13.1"" WEL-131-V";;WEL-131-V;;0,88;;N/A;;;
000000001324;;GUAYA DE SEGURIDAD PARA LAPTOP IMEXX 25419;;25419;;1,80;;N/A;;;
000000001410;;INVERSOR 150W 12V IN / 220V-5V OUT;;150W 12V;;23,44;;N/A;;;
000000001695;;"MALETIN ARGOM AVENTURE ARG-BG-6784BK PARA LAPTOP 15.6""
ARGOM- NEGRO";;ARG-BG-6784BK;;17,34;;N/A;;;
000000001696;;"MALETIN ARGOM FLORENCIA ARG-BG-6782 PARA LAPTOP 15.6"" ARGOM-
NEGRO";;ARG-BG-6782;;17,45;;N/A;;;
000000000694;;"MALETIN ESSENTIAL ARG-BG-6772BK PARA LAPTOP 15.6"" ARGOM-
NEGRO CON GRIS ARGOM";;ARG-BG-6772BK;;9,47;;N/A;;;
000000000909;;MESA PARA JUEGOS DE COMBATE ERGO Z47 ARG-DK-9247BK;;ARG-DK-9247BK;;110,39;;N/A;;;
000000001511;;MICROFONO L20;;SPEAKER L20;;12,84;;1 MES;;;
000000001512;;MICROFONO LY 889;;SPEAKER LY 889;;13,38;;1 MES;;;
000000000911;;MOUSE CLASICO CON CONECTOR USB ARG-MS-0002;;ARG-MS-0002;;2,31;;3 MESES;;;
000000001760;;MOUSE DELUX USB M321BU NEGRO ROJO;;M321BU;;7,46;;6 MESES;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 4/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001557;;MOUSE GAMING MSI OPTIX CLUTH GM08;;GM08;;14,20;;3 MESES;;;
000000001675;;MOUSE HP X-55 USB;;HP X-55;;2,86;;3 MESES;;;
000000000323;;"MOUSE MYO GM6 GAMING DE 6 BOTONES, LUCES DE COLORES, USB
CABE 702";;MYO-GM6;;10,40;;3 MESES;;;
000000000475;;MOUSE NEGRO USB OEM BOLSITA;;M322;;4,20;;3 MESES;;;
000000001691;;MOUSE PAD ARGOM GEL 360 ARG-AC-1222 NEGRO;;ARG-AC-1222 NEGRO;;5,04;;3 MESES;;;
000000001110;;MOUSE PAD GAMING CHEKPOINT MP-200 BD2;;MP-200 PAD;;6,26;;S/G;;;
000000000838;;MOUSE U MUW-01 3D GAMING WIRELESS OPTICAL 3200 DPI USB 2.0;;MUW-01 USB 2.0;;7,87;;3 MESES;;;
000000000864;;MOUSE U MUW-02 1200 DPI USB RECARGABLE;;MUW-02;;5,24;;3 MESES;;;
000000001704;;MOUSE USB ARGOM OPTICO 3D MS14 ARG-MS-0014L AZUL;;ARG-MS-0014L;;4,58;;N/A;;;
000000001705;;MOUSE USB ARGOM OPTICO 3D MS14 ARG-MS-0014R ROJO;;ARG-MS-0014R;;4,58;;3 MESES;;;
000000000020;;MOUSE USB U-M01 OPTICAL;;U-M01;;2,76;;3 MESES;;;
000000000519;;MULTIBAND WIFI MAXWEST MOVIL 4G LTE;;MX-HUB4GLTE;;53,23;;N/A;;;
000000000868;;PASTA TERMICA;;PASTA TERMICA;;9,48;;S/G;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 5/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001172;;PEN DRIVE KINGSTON 256GB USB 3.2 EXODIA;;256GB;;19,50;;1 AÑO;;;
000000001330;;PLANTA ELECTRICA INSONORA AIMS POWER 800W;;GEN800W120;;380,00;;6 MESES;;;
000000001323;;PLANTA GENERADORA ELECTRICA LAUNTOP 800W 2 TIEMPOS;;800W;;149,00;;3 MESES;;;
000000000687;;REGLETA 6 TOMAS;;6 TOMAS;;5,92;;N/A;;;
000000000686;;REGLETA ARGOM DE 6 TOMAS 110V ARG-AC-0252BK - NEGRO;;ARG-AC-0252BK;;4,93;;N/A;;;
000000001690;;REGLETA ARGOM SURGE DE 6 TOMAS 110V ARG-AC-0252WT - BLANCO;;ARG-AC-0252WT;;4,96;;N/A;;;
000000001514;;SISTEMA DE AUDIO PORTATIL PRO DG I601 AIO 80 W RMS 95dB;;PRO DG I601 AIO;;256,60;;6 MESES;;;
000000001515;;SISTEMA DE AUDIO PORTATIL PRO DG I603 AIO 150W RMS 97dB;;PRO DG I603 AIO;;425,09;;6 MESES;;;
000000001513;;"SISTEMA DE AUDIO PORTATIL PRO DG NEO-1 ARRAY DE 2 VIAS 460 W
RMS / 920 W / PICO DE 1840 W";;PRO DG NEO-1 ARRAY;;887,30;;6 MESES;;;
000000000700;;"SOPORTE CON BRAZO ARTICULADO PARA TV 32""-55"" ARG-BR-1546
ARGOM";;ARG-BR-1546;;25,38;;N/A;;;
000000001698;;"SOPORTE DE PARED PARA TV ARG-BR-8221 CON UN ESTANTE ARGOM
ARG-BR-8221";;ARG-BR-8221;;13,47;;N/A;;;
000000001697;;"SOPORTE DE TECHO PARA TV ARG-BR-1624 ARGOM 55"" 400X400";;ARG-BR-1624;;54,25;;N/A;;;
000000000702;;"SOPORTE DOBLE ARTICULADO PARA ESCRITORIO ARG-BR-1602 ARGOM
32""";;ARG-BR-1602;;40,04;;N/A;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 6/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000000699;;"SOPORTE MOVIBLE PARA TV 23""-42"" ARG-BR-1521 ARGOM";;ARG-BR-1521;;12,34;;N/A;;;
000000001700;;SPLITTER ARGOM ARG-AV-5114 4 PUERTOS HDMI 4K HD;;ARG-AV-5114;;15,12;;6 meses;;;
000000001253;;SPLITTER ARGOM ARG-AV-5118 8 PUERTOS HDMI 4K HD;;ARG-AV-5118;;34,92;;6 MESES;;;
000000001254;;TECLADO ARGOM EN ESPAÑOL USB MULTIMEDIA ARG-KB-7414;;ARG-KB-7414;;5,24;;3 MESES;;;
000000000917;;TECLADO BT PORTATIL ARG-KB-0203 ULTRA DELGADO;;ARG-KB-0203;;17,60;;3 MESES;;;
000000001759;;TECLADO DELUX K6012U NEGRO USB;;K6012U;;7,46;;6 MESES;;;
000000001284;;TECLADO DELUX SK800 INALAMBRICO;;SK800;;15,40;;3 MESES;;;
000000001114;;TECLADO GAMING CHEKPOINT KX-300;;KX-300;;39,09;;3 MESES;;;
000000001684;;TECLADO GENIUS SLIMSTAR 230 USB;;GENIUS 230USB;;10,56;;3 MESES;;;
000000001646;;TECLADO HAVIT USB SERIE GAMING KB866L-SP;;KB-866L-SP;;13,11;;3 meses;;;
000000001702;;"TECLADO MOUSE COMBO INALAMBRICO ARGOM NEGRO USB
ARG-KB-7436";;ARG-KB-7436;;14,89;;3 MESES;;;
000000000723;;TECLADO NUMERICO RETRACTIL USB -19 TECLAS ARG-KB-1076 ARGOM;;ARG-KB-1076;;6,12;;3 MESES;;;
000000000474;;"TECLADO U-KEIBOARD KUW-01 WIRELESS BUSINESS 2.4GHZ MINI
RECEIVER";;KUW-01;;12,28;;3 MESES;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 7/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000000021;;TECLADO U-KEYBOARD UK-01 USB ESPANOL 1200 DPI;;UK-01;;5,61;;3 MESES;;;
000000001294;;UNIDAD DVD INTERNA SATA;;DVD SATA;;15,00;;1 MESE;;;
000000000879;;VOLANTE LOGITECH G29 RACING WHELL;;G29;;255,00;;3 M;;;
ADAPTADOR;;;;;;;;;;;
000000000012;;BLUETOOH USB AUDIORECEPTOR TRANSMISOR WIRELESS BT-800 2 IN 1;;BT-800;;4,39;;15 DIAS;;;
BASE DE TV;;;;;;;;;;;
000000001639;;"BASE PARA TV FIJA 26"" A 63""";;26´A 63´;;7,80;;N/A;;;
000000001640;;"BASE PARA TV FIJA 32"" A 80""";;32´A 80´;;13,20;;N/A;;;
000000001641;;"BASE PARA TV INCLINABLE 32"" A 70""";;32´A 70´;;21,48;;N/A;;;
000000001642;;"BASE PARA TV SH-20T 15"" A 43""";;15´A 43´;;10,68;;N/A;;;
CABLE;;;;;;;;;;;
000000000039;;CABLE DE PODER PC;;CABLE PODER PC;;1,44;;N/A;;;
000000001632;;CABLE EXTENSOR ATX 24 PINES;;ATX 24 PINES;;4,56;;N/A;;;
000000000003;;CABLE MIKI CORRIENTE 1.5MTS;;MIKI 1.5MTS;;1,60;;N/A;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 8/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000000034;;CABLE VGA PARA MONITOR;;VGA;;2,40;;N/A;;;
CARTUCHOS, TINTAS Y TONER;;;;;;;;;;;
000000001328;;"CINTA EPSON ERC-38B BLACK PARA MODELO
TMU950/TMU925/TMH5000";;ERC-38B;;1,80;;N/A;;;
000000001337;;TINTA CANON GI-11 BK LAM;;GI-11;;12,47;;N/A;;;
000000001338;;TINTA CANON GI-11 CYAN LAM;;GI-11;;11,34;;N/A;;;
000000001339;;TINTA CANON GI-11 MAGENTA LAM;;GI-11;;11,34;;N/A;;;
000000001340;;TINTA CANON GI-11 YELLOW LAM;;GI-11;;11,34;;N/A;;;
000000001313;;TINTA EPSON BLACK T49M120;;T49M120;;21,87;;N/A;;;
000000001310;;TINTA EPSON BLACK T544120 SERIE 3100/3150;;T544120;;10,54;;N/A;;;
000000001314;;TINTA EPSON CYAN T49M220;;T49M220;;21,87;;N/A;;;
000000001307;;TINTA EPSON CYAN T544220 SERIE 3100/3150;;T544220;;10,80;;N/A;;;
000000001315;;TINTA EPSON MAGENTA T49M320;;T49M320;;21,87;;N/A;;;
000000001316;;TINTA EPSON YELLOW T49M420;;T49M420;;21,87;;N/A;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 9/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001309;;TINTA EPSON YELLOW T544420 SERIE 3100/3150;;T544420;;10,80;;N/A;;;
000000001750;;"TONER MAXIPRINT COMPATIBLE CON HP
CB435A/CB436A/CE285A/CRG125";;CB435A/CB436A/CE285;;12,00;;;;;
CASE PARA PC;;;;;;;;;;;
000000001288;;CASE ATX DELUX G505 SIN FUENTE;;G-505;;54,00;;N/A;;;
000000001627;;CASE ANTEC DARK PHANTOM DP301M;;DP301M;;93,71;;N/A;;;
000000001628;;CASE ANTEC DF800 FLUX ATX GAMING CA-DF800 CON FAN COOLER;;CA-DF800;;147,20;;N/A;;;
000000001289;;"CASE COMBO ATX DELUX C710 TECLADO + MOUSE INALAMBRICO SIN
FUENTE";;G-505;;60,00;;N/A;;;
000000001664;;CASE COOLER MASTER N200 MINI TOWER CA-200KKN1 (1 FAN COOLER);;CA-200KKN1;;135,17;;N/A;;;
000000001622;;CASE COOLER MASTER TD300 MESH CA-TD300KG (2 FAN COOLER);;CA-TD300KG;;185,00;;N/A;;;
000000001623;;CASE COOLER MASTER TD300 MESH CA-TD300WG BLANCO;;CA-TD300WG;;185,00;;N/A;;;
000000001160;;CASE CORSAIR 280X WT-136-BD CC-9011136-WW (2 FAN COOLER);;CC-9011136-WW;;184,08;;N/A;;;
000000001290;;CASE DELUXE G505 (SIN FUENTE);;G505;;55,00;;N/A;;;
000000000884;;CASE GAMING CHEKPOINT CP-400 RGB;;CP-400;;45,87;;N/A;;;
;;;;;;;;;;;
NOTA: PRECIOS VALIDOS SOLO POR 24 HORAS, LOS MISMOS PUEDEN VARIAR SIN VENTAS AL MAYOR , NO SE DEVUELVE DINERO UNA VEZ REALIZADA LA COMPRA;;;;;;;;;;;
;;;;;;;;;;;
GReport 1.1.3;;;;;;;;;;Página 10/29;
;;;;;;;;;;;
;;;"HAZ TU PEDIDO Y ""CRECE CON NOSOTROS""";;;;;;;;
;;;;;;;;;;;
;;;;;;;;;FECHA: 08/05/2023;;
;;;;;;;;;;;
;;;;;;;;;;;
CODIGO;;DESCRIPCION;;MODELO;;PRECIO;;GARANTIA;;;
000000001613;;CASE GAMING CHEKPOINT CP-800 RGB E-ATX;;CP-800;;62,62;;N/A;;;
000000001612;;CASE GAMING CHEKPOINT CP-850 RGB E-ATX;;CP-850;;64,07;;N/A;;;
000000001616;;"CASE GAMING THERMALTAKE DIVIDER 370TG ARGB CA-D370TGK (2 FAN
COOLER)";;CA-D370TGK;;198,92;;S/G;;;
